ID,cluster
22,1
42,1
56,0
58,0
64,0
88,3
95,1
163,1
198,1
202,0
209,0
218,0
223,1
228,0
245,0
246,0
322,0
325,0
342,0
344,0
352,0
358,0
362,1
451,0
471,0
474,0
500,1
518,0
519,0
545,1
559,0
602,0
604,0
611,0
618,1
635,1
654,1
664,1
675,0
720,0
728,0
774,0
804,0
810,1
823,1
827,1
841,0
860,0
871,3
873,0
885,0
890,1
895,1
896,0
901,0
903,0
965,1
989,0
992,0
1001,1
1013,0
1019,1
1029,1
1035,0
1091,1
1099,1
1109,0
1118,0
1124,1
1154,1
1169,0
1180,3
1185,0
1195,1
1199,0
1216,0
1224,0
1236,3
1248,1
1258,1
1271,1
1383,1
1410,0
1420,0
1423,0
1432,1
1441,0
1451,0
1467,1
1501,0
1507,1
1518,0
1526,1
1530,1
1531,0
1548,0
1563,1
1566,3
1567,0
1577,0
1580,1
1596,1
1640,0
1645,1
1648,1
1653,0
1685,1
1687,3
1691,3
1708,0
1710,1
1732,0
1739,0
1745,0
1768,0
1786,0
1788,0
1803,0
1810,0
1812,1
1820,3
1834,0
1841,0
1853,0
1858,0
1861,0
1892,0
1893,0
1906,1
1907,1
1910,0
1923,0
1957,0
1959,0
1979,0
1981,0
1998,1
2002,1
2064,0
2102,0
2111,0
2115,0
2194,0
2219,0
2220,1
2233,3
2246,0
2252,1
2313,3
2319,0
2341,0
2346,0
2374,0
2433,0
2453,0
2466,0
2467,3
2495,1
2497,0
2506,1
2516,0
2537,0
2550,0
2551,1
2586,1
2596,0
2599,1
2609,1
2614,0
2615,0
2621,0
2641,1
2678,0
2693,0
2699,0
2748,0
2751,1
2752,0
2764,0
2792,0
2846,0
2850,1
2865,0
2868,1
2874,0
2935,1
2938,0
2944,1
2947,3
2960,0
2989,0
3007,0
3036,1
3052,1
3062,1
3073,1
3074,0
3080,0
3085,0
3124,1
3134,3
3135,3
3137,1
3150,1
3205,1
3219,0
3220,0
3230,0
3258,0
3267,1
3289,0
3294,1
3310,0
3313,0
3366,0
3367,0
3377,0
3386,0
3387,0
3405,1
3410,0
3427,3
3433,0
3447,0
3454,0
3456,1
3467,0
3487,0
3506,1
3546,3
3614,0
3657,0
3658,0
3660,1
3691,0
3719,0
3732,0
3747,1
3770,3
3787,0
3793,1
3823,1
3863,0
3884,0
3895,0
3901,1
3908,0
3914,1
3961,0
3966,0
3969,0
3976,0
3979,0
4064,0
4069,0
4107,1
4141,0
4158,0
4161,0
