ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,10.282814108317032,5.276242822110272,14.550332079360354,10.282814108317032,10.282814108317032,-0.3076981590067927,-0.3076981590067927,-0.3076981590067927,-0.3076981590067927,-0.3076981590067927,-0.3076981590067927,0.0,0.0,0.0,9.97511594931024
2024-01-02,10.282504959269591,6.025108971667184,14.877914265476178,10.282504959269591,10.282504959269591,0.22161700422065345,0.22161700422065345,0.22161700422065345,0.22161700422065345,0.22161700422065345,0.22161700422065345,0.0,0.0,0.0,10.504121963490245
2024-01-03,10.282195810222149,6.359027615755255,15.381633442800284,10.282195810222149,10.282195810222149,0.3888423386199611,0.3888423386199611,0.3888423386199611,0.3888423386199611,0.3888423386199611,0.3888423386199611,0.0,0.0,0.0,10.67103814884211
2024-01-04,10.28188666117471,6.1260478721321565,15.309895778132624,10.281388987780005,10.282352899365604,0.4827737040679546,0.4827737040679546,0.4827737040679546,0.4827737040679546,0.4827737040679546,0.4827737040679546,0.0,0.0,0.0,10.764660365242664
2024-01-05,10.281577512127267,4.823174201096699,13.890679290890112,10.279976026561076,10.28278830985796,-1.0017294862371469,-1.0017294862371469,-1.0017294862371469,-1.0017294862371469,-1.0017294862371469,-1.0017294862371469,0.0,0.0,0.0,9.27984802589012
2024-01-06,10.281268363079826,5.58780566420076,14.493136312790403,10.278655437149597,10.28402055236314,-0.4830149648062329,-0.4830149648062329,-0.4830149648062329,-0.4830149648062329,-0.4830149648062329,-0.4830149648062329,0.0,0.0,0.0,9.798253398273594
2024-01-07,10.280959214032386,6.304369143268442,15.702063914835517,10.276528696835959,10.285014889986025,0.6992095631435744,0.6992095631435744,0.6992095631435744,0.6992095631435744,0.6992095631435744,0.6992095631435744,0.0,0.0,0.0,10.98016877717596
2024-01-08,10.280650064984945,5.500397200263141,14.343351233601675,10.274407791983352,10.28687209752569,-0.30769815900459996,-0.30769815900459996,-0.30769815900459996,-0.30769815900459996,-0.30769815900459996,-0.30769815900459996,0.0,0.0,0.0,9.972951905980345
2024-01-09,10.280340915937503,6.271253743966087,15.27157877383822,10.271418258290929,10.28913413352622,0.221617004221135,0.221617004221135,0.221617004221135,0.221617004221135,0.221617004221135,0.221617004221135,0.0,0.0,0.0,10.501957920158638
2024-01-10,10.280031766890064,6.201551817695846,15.144719384316288,10.268902899207221,10.29260467409587,0.3888423386216013,0.3888423386216013,0.3888423386216013,0.3888423386216013,0.3888423386216013,0.3888423386216013,0.0,0.0,0.0,10.668874105511664
2024-01-11,10.279722617842621,6.005900736721108,15.355647828591279,10.26572828139347,10.2948127040788,0.48277370406850073,0.48277370406850073,0.48277370406850073,0.48277370406850073,0.48277370406850073,0.48277370406850073,0.0,0.0,0.0,10.762496321911122
2024-01-12,10.27941346879518,4.826664215174675,13.502879187927244,10.261885010095119,10.297370289603737,-1.0017294862394164,-1.0017294862394164,-1.0017294862394164,-1.0017294862394164,-1.0017294862394164,-1.0017294862394164,0.0,0.0,0.0,9.277683982555764
2024-01-13,10.27910431974774,5.267558129887868,14.127297899166878,10.258394309804498,10.30003173905389,-0.4830149648108389,-0.4830149648108389,-0.4830149648108389,-0.4830149648108389,-0.4830149648108389,-0.4830149648108389,0.0,0.0,0.0,9.796089354936901
2024-01-14,10.278795170700299,6.360383552339057,15.773714143708888,10.25437730290719,10.30379693089343,0.699209563142149,0.699209563142149,0.699209563142149,0.699209563142149,0.699209563142149,0.699209563142149,0.0,0.0,0.0,10.978004733842448
2024-01-15,10.278486021652856,5.174098759109522,14.322285754367243,10.250613610464178,10.307556543327529,-0.3076981590054093,-0.3076981590054093,-0.3076981590054093,-0.3076981590054093,-0.3076981590054093,-0.3076981590054093,0.0,0.0,0.0,9.970787862647446
2024-01-16,10.278176872605416,5.706220477647023,14.887173881595151,10.24747023186523,10.310705348287884,0.22161700422161656,0.22161700422161656,0.22161700422161656,0.22161700422161656,0.22161700422161656,0.22161700422161656,0.0,0.0,0.0,10.499793876827033
2024-01-17,10.277867723557975,6.288971932823796,15.15162672874729,10.242576719748907,10.31530712176596,0.38884233862117656,0.38884233862117656,0.38884233862117656,0.38884233862117656,0.38884233862117656,0.38884233862117656,0.0,0.0,0.0,10.66671006217915
2024-01-18,10.277558574510534,6.6016598708236085,15.369616121102824,10.237883243769225,10.31917491649732,0.4827737040671152,0.4827737040671152,0.4827737040671152,0.4827737040671152,0.4827737040671152,0.4827737040671152,0.0,0.0,0.0,10.76033227857765
2024-01-19,10.277249425463094,4.925383987561992,13.754036165374618,10.233512941016327,10.323112814217948,-1.0017294862416861,-1.0017294862416861,-1.0017294862416861,-1.0017294862416861,-1.0017294862416861,-1.0017294862416861,0.0,0.0,0.0,9.275519939221407
